score,feature
1.0,proportion_below_threshold_0.3
1.0,keywordIUSubjectWoman
1.0,keywordIUPlaceExterior
1.0,keywordIUObjectWindow
1.0,keywordIUObjectStool
1.0,keywordIUObjectSink
1.0,keywordIUObjectCurtains
1.0,keywordIUObjectCookie
1.0,getImagabilityScore
1.0,getConcretenessScore
1.0,binaryIUSubjectWoman
1.0,binaryIUSubjectGirl
1.0,binaryIUPlaceExterior
1.0,binaryIUObjectWindow
1.0,binaryIUObjectStool
1.0,binaryIUObjectSink
1.0,binaryIUObjectCurtains
1.0,binaryIUObjectCookie
1.0,binaryIUActionWaterOverflowing
1.0,binaryIUActionStoolFalling
1.0,age
1.0,VP_to_VBG
1.0,VP_to_AUX_VP
1.0,VP_to_AUX_ADJP
1.0,VPProportion
1.0,S
1.0,RatioPronoun
1.0,PProportion
1.0,PPTypeRate
1.0,PP
1.0,NumSubordinateConjunctions
1.0,NumNouns
1.0,NumInflectedVerbs
1.0,NumDeterminers
1.0,NumAdverbs
1.0,NP_to_PRP
1.0,NP_to_DT_NN
1.0,MeanWordLength
1.0,MLT
1.0,MLS
1.0,INTJ
1.0,DC_T
1.0,C_T
1.0,C_S
1.0,CN_T
1.0,AvgVPTypeLengthEmbedded
1.0,AvgPPTypeLengthNonEmbedded
1.0,AvgPPTypeLengthEmbedded
1.0,ADVP
0.995,CT_T
0.99,getSUBTLWordScores
0.98,INTJ_to_UH
0.98,ADJP
0.97,T
0.97,AvgVPTypeLengthNonEmbedded
0.965,avg_cos_dist
0.96,RatioNoun
0.94,binaryIUActionBoyTaking
0.93,AvgNPTypeLengthEmbedded
0.91,VP_T
0.905,getFamiliarityScore
0.84,keywordIUSubjectGirl
0.79,proportion_below_threshold_0.5
0.73,RatioCoordinate
0.61,DC_C
0.56,binaryIUActionWomanDryingWashing
0.555,VP
0.54,TTR
0.54,NumCoordinateConjunctions
0.535,VP_to_AUX
0.47,binaryIUSubjectBoy
0.46,MeanLengthOfSentence
0.455,binaryIUPlaceKitchen
0.345,tree_height
0.23,getLightVerbCount
0.175,NPProportion
0.165,binaryIUObjectDishes
0.16,keywordIUObjectPlate
0.145,keywordIUPlaceKitchen
0.13,binaryIUObjectWater
0.12,MATTR
0.105,CP_T
0.1,binaryIUObjectPlate
0.055,NumInterjections
0.05,BrunetIndex
0.045,NPTypeRate
0.04,keywordIUObjectDishcloth
0.025,NumVerbs
0.015,TotalNumberOfWords
0.01,FRAG
0.005,binaryIUObjectDishcloth
