score,feature
0.0448245614035,RatioPronoun
0.0332894736842,AvgVPTypeLengthEmbedded
0.0247807017544,MeanWordLength
0.0142543859649,keywordIUSubjectWoman
0.0126754385965,binaryIUPlaceExterior
0.0116666666667,CN_T
0.0109649122807,binaryIUObjectSink
0.01,AvgNPTypeLengthEmbedded
0.00916666666667,VPProportion
0.00644736842105,getSUBTLWordScores
0.005,AvgVPTypeLengthNonEmbedded
0.00469298245614,C_T
0.0040350877193,mfcc10_kurtosis
0.0034649122807,binaryIUActionWaterOverflowing
0.00333333333333,keywordIUObjectCookie
0.00333333333333,getImagabilityScore
0.0025,proportion_below_threshold_0.3
0.0025,mfcc9_kurtosis
0.00236842105263,binaryIUObjectCurtains
0.00185185185185,NumDeterminers
0.00166666666667,mfcc4_kurtosis
0.00166666666667,mfcc3_kurtosis
0.00166666666667,mfcc1_skewness
0.00166666666667,mfcc13_kurtosis
0.00166666666667,NumSubordinateConjunctions
0.00166666666667,NumInflectedVerbs
0.00151515151515,ADJP
0.00148448043185,MLT
0.00111111111111,mfcc11_kurtosis
0.00101569713758,MLS
0.000833333333333,binaryIUSubjectGirl
0.000833333333333,AvgPPTypeLengthEmbedded
0.000833333333333,PPTypeRate
0.000131578947368,mfcc7_kurtosis
0.0,proportion_below_threshold_0.5
0.0,mfcc12_accel_mean
0.0,mfcc10_vel_skewness
0.0,mfcc10_accel_mean
0.0,avg_cos_dist
0.0,VP_to_VBG
0.0,VP_to_AUX_ADJP
0.0,VP_T
0.0,TTR
0.0,PP
0.0,CT_T
-0.000350877192982,keywordIUObjectSink
-0.000833333333333,mfcc8_kurtosis
-0.000833333333333,keywordIUObjectStool
-0.000833333333333,T
-0.000833333333333,RatioNoun
-0.000833333333333,PProportion
-0.000833333333333,NumNouns
-0.000833333333333,NumAdverbs
-0.000833333333333,NP_to_PRP
-0.000833333333333,NP_to_DT_NN
-0.000833333333333,INTJ_to_UH
-0.000833333333333,INTJ
-0.000833333333333,ADVP
-0.000925925925926,C_S
-0.000980392156863,VP_to_AUX_VP
-0.00144736842105,binaryIUObjectCookie
-0.0015350877193,mfcc6_kurtosis
-0.00166666666667,mfcc5_skewness
-0.00166666666667,mfcc12_kurtosis
-0.00166666666667,keywordIUPlaceExterior
-0.00201754385965,keywordIUObjectWindow
-0.0025,mfcc7_skewness
-0.00277777777778,binaryIUActionBoyTaking
-0.00486842105263,S
-0.00833333333333,keywordIUObjectCurtains
-0.00934210526316,AvgPPTypeLengthNonEmbedded
-0.0100438596491,binaryIUSubjectWoman
-0.0111111111111,DC_T
-0.0140350877193,getConcretenessScore
-0.0157456140351,binaryIUObjectStool
-0.0157894736842,binaryIUActionStoolFalling
-0.0289035087719,mfcc5_kurtosis
-0.0319736842105,age
-0.0336842105263,binaryIUObjectWindow
